lat_bin,lon_bin,observed_incidents
41.965,-87.73,2046
41.865,-87.735,2045
41.795,-87.64,2038
41.92,-87.675,2036
41.745,-87.575,2033
41.985,-87.695,2032
42.015,-87.69,2032
41.7,-87.565,2027
41.935,-87.73,2024
41.725,-87.655,2023
41.875,-87.68,2022
41.705,-87.635,2021
41.945,-87.715,2020
41.955,-87.645,2020
41.76,-87.595,2016
41.84,-87.66,2013
41.915,-87.64,2006
41.67,-87.625,2005
41.925,-87.66,2004
41.795,-87.615,2000
41.94,-87.665,1997
41.705,-87.54,1995
41.965,-87.735,1994
42.01,-87.66,1989
41.76,-87.67,1984
41.955,-87.725,1984
41.885,-87.72,1982
41.9,-87.705,1979
41.81,-87.635,1978
41.72,-87.595,1976
41.705,-87.565,1975
41.825,-87.63,1971
41.91,-87.78,1971
41.835,-87.655,1970
41.855,-87.7,1969
41.765,-87.6,1968
41.895,-87.73,1967
41.72,-87.615,1960
41.88,-87.675,1960
41.98,-87.69,1960
41.79,-87.705,1958
41.805,-87.73,1954
41.855,-87.62,1951
41.77,-87.725,1950
41.915,-87.67,1950
41.925,-87.74,1948
41.82,-87.69,1944
41.92,-87.635,1942
41.93,-87.78,1939
41.69,-87.535,1937
41.955,-87.76,1937
41.895,-87.615,1933
41.995,-87.715,1933
41.815,-87.64,1930
41.925,-87.685,1930
41.69,-87.66,1929
41.89,-87.665,1922
41.675,-87.615,1918
41.94,-87.685,1916
41.88,-87.775,1911
41.76,-87.675,1909
41.755,-87.625,1907
41.765,-87.695,1901
41.945,-87.72,1900
41.71,-87.565,1899
41.99,-87.695,1898
41.79,-87.725,1890
41.84,-87.64,1890
41.995,-87.675,1888
41.935,-87.775,1887
41.67,-87.63,1886
41.965,-87.67,1881
41.82,-87.685,1878
41.965,-87.705,1877
41.945,-87.705,1876
41.945,-87.665,1870
41.78,-87.715,1869
41.815,-87.665,1866
41.935,-87.67,1864
41.715,-87.57,1859
41.955,-87.665,1856
41.745,-87.59,1855
41.975,-87.665,1854
41.805,-87.705,1852
41.945,-87.75,1852
41.82,-87.6,1851
41.94,-87.705,1849
41.935,-87.75,1847
41.76,-87.69,1846
41.95,-87.705,1845
41.915,-87.755,1843
41.725,-87.61,1842
41.745,-87.7,1842
42.01,-87.695,1840
41.78,-87.73,1838
41.94,-87.68,1838
41.96,-87.69,1838
41.725,-87.575,1836
41.85,-87.63,1832
41.95,-87.67,1831
41.92,-87.785,1830
41.665,-87.64,1829
41.985,-87.79,1829
41.945,-87.765,1823
41.825,-87.695,1822
41.89,-87.66,1822
41.67,-87.62,1820
41.995,-87.68,1819
41.73,-87.595,1818
41.995,-87.705,1818
41.78,-87.765,1816
41.915,-87.775,1806
41.98,-87.71,1806
41.81,-87.75,1805
41.71,-87.535,1804
41.72,-87.635,1803
41.94,-87.675,1801
41.745,-87.625,1800
41.71,-87.615,1798
41.745,-87.565,1798
41.755,-87.675,1794
41.775,-87.63,1794
